label,size,x_com,y_com,x_geom,y_geom
5,1928,1090.260,725.799,1089.992,723.575
6,14235,1249.579,768.512,1254.976,770.208
137,640,836.246,892.832,835.638,892.431
150,3379,1281.194,936.206,1285.505,933.801
163,19960,1364.278,1004.338,1387.833,999.850
192,8992,762.813,1038.876,757.457,1039.763
229,41690,1257.729,1178.138,1269.221,1185.736
248,710,820.123,1115.132,818.756,1116.234
268,546,1443.589,1130.190,1443.720,1130.137
325,1073,943.387,1219.765,942.619,1219.284
480,640,964.811,1330.728,964.503,1330.888
531,881,968.098,1389.052,967.484,1389.153
577,6594,972.261,1673.807,971.783,1672.718
